PickUp_Hour,Number of PickUps
00,157169
01,108527
02,76057
03,51060
04,34095
05,44926
06,124452
07,238318
08,300182
09,303462
10,305664
11,319355
12,332463
13,331233
14,347825
15,351003
16,330515
17,385417
18,434972
19,404655
20,368397
21,351741
22,328549
23,241883
