PickUp_Hour,Number of PickUps
00,164870
01,111095
02,75441
03,50079
04,34844
05,46007
06,126999
07,244920
08,304408
09,308791
10,308156
11,326197
12,341008
13,341463
14,357323
15,351084
16,328372
17,385667
18,434986
19,405658
20,365921
21,367566
22,332532
23,250547
