PickUp_Hour,Number of PickUps
00,172876
01,122373
02,88319
03,57829
04,37656
05,43930
06,115777
07,207887
08,272948
09,280843
10,284943
11,299784
12,315345
13,317000
14,323000
15,316877
16,296194
17,339646
18,376598
19,358380
20,315316
21,323836
22,303462
23,237369
