PickUp_Hour,Number of PickUps
00,190152
01,133977
02,88359
03,67577
04,44060
05,46314
06,126674
07,236507
08,307228
09,315980
10,315672
11,332778
12,347793
13,346810
14,362718
15,363085
16,344349
17,400603
18,451625
19,427845
20,377570
21,370776
22,344552
23,263744
