PickUp_Hour,Number of PickUps
00,151780
01,109561
02,79342
03,53683
04,35117
05,43058
06,121304
07,227682
08,292323
09,295911
10,288426
11,299242
12,314693
13,313757
14,329399
15,337169
16,318383
17,366496
18,415875
19,385088
20,335849
21,323978
22,303675
23,224248
