PULocationID,Number of PickUps
237,317430
161,293886
236,290215
162,249504
186,240184
230,226656
48,216892
234,212903
142,211592
170,206386
239,184190
163,183555
68,171457
79,164949
141,162085
164,156140
107,153458
238,141618
100,135753
249,131996
229,128330
263,126829
246,122169
140,121759
90,121407
43,117955
231,114169
113,106536
262,86163
114,85970
233,85845
143,83774
137,78121
148,72152
158,67243
144,63398
50,62504
151,61315
13,60307
211,53510
75,49682
87,43917
166,40550
125,39713
261,37363
41,25646
74,24494
88,23786
24,20824
224,13729
45,12692
209,11660
4,11125
42,10860
232,8661
116,7646
244,7282
152,6741
12,2777
243,1129
127,555
194,393
202,222
153,88
128,43
120,28
105,9
