PULocationID,Number of PickUps
237,283875
161,254292
236,253284
186,226788
162,226246
48,209672
230,200707
170,199897
142,191183
234,187298
239,171797
163,165939
68,158379
79,157308
141,148417
107,144664
164,142794
238,132515
100,129670
249,126850
229,121472
263,117501
246,115740
90,113484
140,110384
43,108750
231,104509
113,93800
233,85750
262,77870
114,77727
143,76952
137,74383
148,71958
158,69807
151,60653
13,59571
50,58889
144,58544
211,49423
75,47101
87,44224
166,37337
125,36494
261,35395
41,25679
74,25263
88,22144
24,21399
224,12557
209,12457
45,11048
42,10851
4,10200
116,8314
232,7714
152,7685
244,7530
12,3459
243,1218
127,654
194,423
202,148
153,68
128,49
120,30
105,5
