PULocationID,Number of PickUps
237,321457
236,315059
161,291244
162,257075
186,246632
230,239783
142,226635
48,225535
234,224322
170,222113
239,202170
163,185895
141,183328
79,176810
107,165842
68,162244
164,158751
238,157762
263,149313
100,145559
140,141520
229,139268
249,134548
90,124877
231,108936
113,107384
43,103549
246,98893
262,95030
137,92503
143,92396
233,87084
114,86754
148,73317
151,67377
158,65457
144,59641
50,59337
13,56498
75,53413
211,51137
87,41905
125,38078
166,37755
261,33410
41,26884
74,25625
88,22193
24,21801
224,14647
4,12475
45,11750
209,11478
42,11196
232,8898
116,7661
244,7045
152,6422
12,1926
243,1165
127,551
194,280
202,199
153,121
128,44
120,31
105,10
