PULocationID,Number of PickUps
237,335778
236,302996
161,276053
162,248098
186,242491
142,226848
230,221326
48,217175
170,209900
234,209629
239,194142
163,186716
68,168639
79,166671
141,163405
107,158625
164,155736
238,147022
100,135842
249,134377
229,131623
263,130722
140,126253
43,121755
90,120581
246,119482
231,114306
113,105297
233,89143
262,87987
143,87495
114,82783
137,80375
148,71620
158,69632
151,64799
144,64418
50,62656
13,61332
211,54146
75,52183
87,46268
166,42045
125,39417
261,36873
41,27389
74,26983
88,23766
24,22458
224,13791
209,12586
45,11874
4,11296
42,11219
232,8658
116,8330
244,7689
152,7164
12,2954
243,1150
194,1032
127,602
202,158
153,82
128,58
120,24
105,11
