PickUp_Hour,Number of PickUps
00,204085
01,142217
02,93639
03,71452
04,48642
05,43366
06,111040
07,212335
08,290245
09,314797
10,315359
11,325463
12,349817
13,347113
14,357371
15,365947
16,348180
17,383550
18,450059
19,441417
20,385164
21,369878
22,352357
23,283255
