PickUp_Hour,Number of PickUps
00,172486
01,114878
02,80756
03,54124
04,37222
05,40835
06,109343
07,211775
08,285271
09,303469
10,303727
11,312796
12,334194
13,329620
14,344306
15,354577
16,334425
17,369196
18,434880
19,417706
20,374326
21,353523
22,336642
23,261843
