PickUp_Hour,Number of PickUps
00,164331
01,115327
02,83924
03,56914
04,38593
05,39361
06,106819
07,202742
08,276871
09,297860
10,291097
11,293313
12,317250
13,312659
14,324186
15,340039
16,320906
17,350449
18,412961
19,399496
20,342320
21,325526
22,310951
23,242144
