PickUp_Hour,Number of PickUps
00,187298
01,129986
02,93778
03,61696
04,41280
05,40421
06,102363
07,187898
08,255326
09,278678
10,283187
11,293229
12,313988
13,317591
14,320546
15,321922
16,298477
17,324223
18,378404
19,372756
20,319276
21,320788
22,310546
23,254531
