PickUp_Hour,Number of PickUps
00,168125
01,122778
02,90731
03,62046
04,43565
05,47433
06,127570
07,234360
08,309785
09,323390
10,316927
11,325375
12,352404
13,346751
14,363313
15,388581
16,360903
17,388645
18,449607
19,425743
20,363489
21,341608
22,310414
23,236455
