PickUp_Hour,Number of PickUps
00,180944
01,118325
02,80755
03,52910
04,37746
05,41693
06,111454
07,217629
08,291048
09,306458
10,307542
11,318166
12,341222
13,341184
14,352011
15,355418
16,332445
17,365430
18,436718
19,427772
20,366603
21,369497
22,339462
23,271502
