DOLocationID,Number of DropOffs
236,292411
161,283353
237,276020
170,236007
162,217467
230,215364
48,210612
234,204376
142,200933
186,191171
239,188994
141,183009
68,177900
79,175293
163,172209
107,160280
238,155438
164,154861
246,145859
263,139777
229,137542
140,132699
249,125506
231,122032
100,119575
90,115396
233,112610
137,105058
143,101936
113,101795
50,96162
262,91612
43,91436
75,90695
158,78590
114,78564
148,75293
13,65035
144,65017
151,62703
211,61268
74,59675
166,56773
87,54719
41,48494
125,38351
4,34814
42,32845
232,32729
261,30856
224,30541
88,27118
24,25672
244,25222
116,19789
209,19780
45,19430
152,12916
243,11873
127,4850
12,4098
202,2785
194,551
128,396
120,312
153,297
105,4
