DOLocationID,Number of DropOffs
236,308506
237,290841
161,276563
170,216767
162,207249
230,203834
142,193805
234,190703
48,189118
239,178206
186,175487
141,174908
163,165165
68,165028
79,152683
238,149934
107,145383
246,144502
164,143739
263,130237
229,129471
140,126592
231,116834
249,115519
100,110299
90,105315
43,103916
233,100378
113,97472
143,97128
137,93367
262,90889
75,85788
50,85095
114,72145
158,70255
148,69521
13,67162
144,60698
151,58790
166,57269
211,57157
74,54422
87,50826
41,44109
125,36994
4,30280
261,30027
232,29665
42,28547
224,27658
88,26987
24,24506
244,23354
209,18634
45,18240
116,17820
152,11272
243,11039
12,4654
127,4479
202,2566
194,1165
128,420
120,276
153,257
105,5
