DOLocationID,Number of DropOffs
236,327122
237,289080
161,278813
170,230019
162,218126
142,207801
230,205058
234,198053
239,197942
48,197295
141,195128
186,183957
238,169667
163,165923
79,161778
68,160341
107,155787
263,152348
140,146075
164,143221
229,139773
246,137320
249,116501
231,114447
137,110767
143,108882
90,108858
100,107565
233,105389
262,103991
113,97477
75,93430
43,89352
50,83823
114,71048
158,70416
148,66864
151,65248
13,58953
144,58042
74,56597
211,54446
166,51535
87,51203
41,46283
125,34573
4,33322
232,32376
224,30243
42,29626
261,28218
24,25342
88,24693
244,23429
116,17878
45,17705
209,17150
152,11335
243,10806
127,4521
12,3541
202,2216
128,370
194,367
153,310
120,231
105,2
