,TimeCategory,DOLocationID,Number of PickUps
0,afternoon,4,6256
1,afternoon,12,1135
2,afternoon,13,17308
3,afternoon,24,6596
4,afternoon,41,11813
5,afternoon,42,6657
6,afternoon,43,33700
7,afternoon,45,4992
8,afternoon,48,50239
9,afternoon,50,23690
10,afternoon,68,45181
11,afternoon,74,15089
12,afternoon,75,25594
13,afternoon,79,32304
14,afternoon,87,11156
15,afternoon,88,6973
16,afternoon,90,30277
17,afternoon,100,36638
18,afternoon,105,3
19,afternoon,107,37880
20,afternoon,113,29821
21,afternoon,114,19364
22,afternoon,116,3422
23,afternoon,120,62
24,afternoon,125,11089
25,afternoon,127,714
26,afternoon,128,82
27,afternoon,137,23878
28,afternoon,140,40587
29,afternoon,141,54971
30,afternoon,142,67128
31,afternoon,143,31068
32,afternoon,144,18543
33,afternoon,148,14140
34,afternoon,151,18741
35,afternoon,152,2877
36,afternoon,153,59
37,afternoon,158,22492
38,afternoon,161,90841
39,afternoon,162,63910
40,afternoon,163,56209
41,afternoon,164,45522
42,afternoon,166,17726
43,afternoon,170,64608
44,afternoon,186,60570
45,afternoon,194,134
46,afternoon,202,358
47,afternoon,209,4380
48,afternoon,211,20687
49,afternoon,224,6207
50,afternoon,229,37765
51,afternoon,230,57767
52,afternoon,231,32863
53,afternoon,232,6489
54,afternoon,233,26144
55,afternoon,234,65421
56,afternoon,236,112862
57,afternoon,237,109583
58,afternoon,238,50694
59,afternoon,239,62329
60,afternoon,243,1754
61,afternoon,244,4585
62,afternoon,246,40969
63,afternoon,249,28594
64,afternoon,261,8090
65,afternoon,262,28863
66,afternoon,263,39910
