,TimeCategory,DOLocationID,Number of PickUps
0,afternoon,4,6437
1,afternoon,12,1758
2,afternoon,13,21570
3,afternoon,24,7188
4,afternoon,41,11692
5,afternoon,42,6458
6,afternoon,43,43325
7,afternoon,45,5438
8,afternoon,48,52085
9,afternoon,50,26199
10,afternoon,68,50229
11,afternoon,74,15508
12,afternoon,75,25795
13,afternoon,79,32665
14,afternoon,87,11977
15,afternoon,88,8435
16,afternoon,90,30403
17,afternoon,100,39116
18,afternoon,105,1
19,afternoon,107,38229
20,afternoon,113,31109
21,afternoon,114,20346
22,afternoon,116,3235
23,afternoon,120,60
24,afternoon,125,11519
25,afternoon,127,618
26,afternoon,128,94
27,afternoon,137,23565
28,afternoon,140,42400
29,afternoon,141,56612
30,afternoon,142,68059
31,afternoon,143,30458
32,afternoon,144,19346
33,afternoon,148,15443
34,afternoon,151,18660
35,afternoon,152,2822
36,afternoon,153,47
37,afternoon,158,21449
38,afternoon,161,97469
39,afternoon,162,68331
40,afternoon,163,59592
41,afternoon,164,47935
42,afternoon,166,19243
43,afternoon,170,67563
44,afternoon,186,61171
45,afternoon,194,503
46,afternoon,202,419
47,afternoon,209,5068
48,afternoon,211,21521
49,afternoon,224,6092
50,afternoon,229,37978
51,afternoon,230,63152
52,afternoon,231,34406
53,afternoon,232,6863
54,afternoon,233,28446
55,afternoon,234,65697
56,afternoon,236,120258
57,afternoon,237,120955
58,afternoon,238,50294
59,afternoon,239,63331
60,afternoon,243,1824
61,afternoon,244,4811
62,afternoon,246,48611
63,afternoon,249,30437
64,afternoon,261,9802
65,afternoon,262,29396
66,afternoon,263,38400
