,TimeCategory,DOLocationID,Number of PickUps
0,afternoon,4,6490
1,afternoon,12,1920
2,afternoon,13,21578
3,afternoon,24,7198
4,afternoon,41,11535
5,afternoon,42,6429
6,afternoon,43,37214
7,afternoon,45,5294
8,afternoon,48,51029
9,afternoon,50,23351
10,afternoon,68,45393
11,afternoon,74,16240
12,afternoon,75,24733
13,afternoon,79,29290
14,afternoon,87,12490
15,afternoon,88,8433
16,afternoon,90,27684
17,afternoon,100,36253
18,afternoon,105,1
19,afternoon,107,36038
20,afternoon,113,26857
21,afternoon,114,17842
22,afternoon,116,3503
23,afternoon,120,55
24,afternoon,125,10216
25,afternoon,127,683
26,afternoon,128,97
27,afternoon,137,23084
28,afternoon,140,39365
29,afternoon,141,51845
30,afternoon,142,63689
31,afternoon,143,28979
32,afternoon,144,17967
33,afternoon,148,14401
34,afternoon,151,18526
35,afternoon,152,2878
36,afternoon,153,39
37,afternoon,158,21679
38,afternoon,161,87557
39,afternoon,162,64305
40,afternoon,163,55154
41,afternoon,164,44026
42,afternoon,166,17211
43,afternoon,170,66509
44,afternoon,186,59522
45,afternoon,194,439
46,afternoon,202,329
47,afternoon,209,4928
48,afternoon,211,19603
49,afternoon,224,6082
50,afternoon,229,35781
51,afternoon,230,59409
52,afternoon,231,31224
53,afternoon,232,6444
54,afternoon,233,27855
55,afternoon,234,57486
56,afternoon,236,106513
57,afternoon,237,107054
58,afternoon,238,47328
59,afternoon,239,59573
60,afternoon,243,1926
61,afternoon,244,4690
62,afternoon,246,43963
63,afternoon,249,28252
64,afternoon,261,9449
65,afternoon,262,26689
66,afternoon,263,36154
