,TimeCategory,PULocationID,Number of PickUps
0,afternoon,4,2514
1,afternoon,12,1303
2,afternoon,13,19092
3,afternoon,24,7334
4,afternoon,41,7842
5,afternoon,42,2927
6,afternoon,43,47775
7,afternoon,45,4056
8,afternoon,48,53867
9,afternoon,50,19470
10,afternoon,68,49669
11,afternoon,74,7913
12,afternoon,75,19598
13,afternoon,79,35132
14,afternoon,87,12483
15,afternoon,88,7276
16,afternoon,90,40122
17,afternoon,100,41000
18,afternoon,105,2
19,afternoon,107,45817
20,afternoon,113,34179
21,afternoon,114,18888
22,afternoon,116,1661
23,afternoon,120,9
24,afternoon,125,11741
25,afternoon,127,115
26,afternoon,128,18
27,afternoon,137,28157
28,afternoon,140,52972
29,afternoon,141,63129
30,afternoon,142,76187
31,afternoon,143,36301
32,afternoon,144,16892
33,afternoon,148,10301
34,afternoon,151,25176
35,afternoon,152,1952
36,afternoon,153,33
37,afternoon,158,18326
38,afternoon,161,106502
39,afternoon,162,82749
40,afternoon,163,66937
41,afternoon,164,50475
42,afternoon,166,12954
43,afternoon,170,72010
44,afternoon,186,76507
45,afternoon,194,95
46,afternoon,202,64
47,afternoon,209,3340
48,afternoon,211,17370
49,afternoon,224,4460
50,afternoon,229,41332
51,afternoon,230,64890
52,afternoon,231,34230
53,afternoon,232,2115
54,afternoon,233,26908
55,afternoon,234,74673
56,afternoon,236,133555
57,afternoon,237,134696
58,afternoon,238,61038
59,afternoon,239,80128
60,afternoon,243,271
61,afternoon,244,1708
62,afternoon,246,37229
63,afternoon,249,31372
64,afternoon,261,14228
65,afternoon,262,35762
66,afternoon,263,50586
