,TimeCategory,DOLocationID,Number of PickUps
0,afternoon,4,6695
1,afternoon,12,1713
2,afternoon,13,22205
3,afternoon,24,7624
4,afternoon,41,11719
5,afternoon,42,6327
6,afternoon,43,41398
7,afternoon,45,5247
8,afternoon,48,51981
9,afternoon,50,25052
10,afternoon,68,48488
11,afternoon,74,16152
12,afternoon,75,26686
13,afternoon,79,32785
14,afternoon,87,12853
15,afternoon,88,8671
16,afternoon,90,30012
17,afternoon,100,38514
18,afternoon,105,1
19,afternoon,107,39690
20,afternoon,113,30862
21,afternoon,114,19648
22,afternoon,116,3337
23,afternoon,120,43
24,afternoon,125,11090
25,afternoon,127,658
26,afternoon,128,102
27,afternoon,137,24602
28,afternoon,140,43756
29,afternoon,141,56548
30,afternoon,142,72502
31,afternoon,143,32248
32,afternoon,144,19905
33,afternoon,148,15027
34,afternoon,151,20086
35,afternoon,152,2951
36,afternoon,153,35
37,afternoon,158,23213
38,afternoon,161,97912
39,afternoon,162,69321
40,afternoon,163,60546
41,afternoon,164,46031
42,afternoon,166,19979
43,afternoon,170,68409
44,afternoon,186,63108
45,afternoon,194,1416
46,afternoon,202,402
47,afternoon,209,4927
48,afternoon,211,21374
49,afternoon,224,6387
50,afternoon,229,38735
51,afternoon,230,64898
52,afternoon,231,33978
53,afternoon,232,7088
54,afternoon,233,29909
55,afternoon,234,64206
56,afternoon,236,123238
57,afternoon,237,125945
58,afternoon,238,52205
59,afternoon,239,66090
60,afternoon,243,1876
61,afternoon,244,5068
62,afternoon,246,48193
63,afternoon,249,30488
64,afternoon,261,9594
65,afternoon,262,29727
66,afternoon,263,38970
