,TimeCategory,PULocationID,Number of PickUps
0,afternoon,4,2191
1,afternoon,12,1697
2,afternoon,13,21199
3,afternoon,24,6783
4,afternoon,41,7657
5,afternoon,42,2916
6,afternoon,43,52673
7,afternoon,45,4546
8,afternoon,48,47439
9,afternoon,50,20197
10,afternoon,68,50764
11,afternoon,74,7690
12,afternoon,75,18078
13,afternoon,79,32752
14,afternoon,87,13402
15,afternoon,88,8344
16,afternoon,90,36170
17,afternoon,100,41028
18,afternoon,107,43873
19,afternoon,113,32628
20,afternoon,114,18768
21,afternoon,116,1883
22,afternoon,120,7
23,afternoon,125,11543
24,afternoon,127,141
25,afternoon,128,13
26,afternoon,137,24247
27,afternoon,140,46581
28,afternoon,141,55604
29,afternoon,142,70059
30,afternoon,143,30314
31,afternoon,144,16859
32,afternoon,148,10556
33,afternoon,151,21947
34,afternoon,152,2123
35,afternoon,153,25
36,afternoon,158,16676
37,afternoon,161,103552
38,afternoon,162,78713
39,afternoon,163,63726
40,afternoon,164,47330
41,afternoon,166,14181
42,afternoon,170,68054
43,afternoon,186,75415
44,afternoon,194,147
45,afternoon,202,71
46,afternoon,209,3219
47,afternoon,211,17105
48,afternoon,224,4035
49,afternoon,229,38076
50,afternoon,230,59292
51,afternoon,231,33588
52,afternoon,232,1963
53,afternoon,233,28314
54,afternoon,234,68520
55,afternoon,236,117731
56,afternoon,237,125093
57,afternoon,238,52481
58,afternoon,239,70493
59,afternoon,243,290
60,afternoon,244,2173
61,afternoon,246,42032
62,afternoon,249,30218
63,afternoon,261,15907
64,afternoon,262,30788
65,afternoon,263,40514
