,TimeCategory,PULocationID,Number of PickUps
0,afternoon,4,2097
1,afternoon,12,1851
2,afternoon,13,20936
3,afternoon,24,7398
4,afternoon,41,7544
5,afternoon,42,2992
6,afternoon,43,48087
7,afternoon,45,3888
8,afternoon,48,47219
9,afternoon,50,17636
10,afternoon,68,45479
11,afternoon,74,7840
12,afternoon,75,17048
13,afternoon,79,30362
14,afternoon,87,12715
15,afternoon,88,7827
16,afternoon,90,34102
17,afternoon,100,37458
18,afternoon,105,1
19,afternoon,107,41469
20,afternoon,113,29066
21,afternoon,114,16742
22,afternoon,116,2300
23,afternoon,120,9
24,afternoon,125,9925
25,afternoon,127,182
26,afternoon,128,21
27,afternoon,137,23683
28,afternoon,140,42268
29,afternoon,141,51238
30,afternoon,142,64764
31,afternoon,143,27955
32,afternoon,144,15671
33,afternoon,148,10122
34,afternoon,151,22745
35,afternoon,152,2473
36,afternoon,153,19
37,afternoon,158,16357
38,afternoon,161,90754
39,afternoon,162,74038
40,afternoon,163,57665
41,afternoon,164,44120
42,afternoon,166,14281
43,afternoon,170,67043
44,afternoon,186,72255
45,afternoon,194,139
46,afternoon,202,38
47,afternoon,209,3421
48,afternoon,211,15032
49,afternoon,224,3848
50,afternoon,229,36636
51,afternoon,230,54954
52,afternoon,231,31117
53,afternoon,232,1957
54,afternoon,233,27902
55,afternoon,234,61758
56,afternoon,236,104643
57,afternoon,237,113478
58,afternoon,238,47958
59,afternoon,239,65249
60,afternoon,243,319
61,afternoon,244,2167
62,afternoon,246,38348
63,afternoon,249,28093
64,afternoon,261,14838
65,afternoon,262,28330
66,afternoon,263,38330
