,TimeCategory,DOLocationID,Number of PickUps
0,afternoon,4,6949
1,afternoon,12,1414
2,afternoon,13,19061
3,afternoon,24,7788
4,afternoon,41,13016
5,afternoon,42,7081
6,afternoon,43,39466
7,afternoon,45,5459
8,afternoon,48,57014
9,afternoon,50,24198
10,afternoon,68,48781
11,afternoon,74,16429
12,afternoon,75,28834
13,afternoon,79,35617
14,afternoon,87,11826
15,afternoon,88,7570
16,afternoon,90,33497
17,afternoon,100,39354
18,afternoon,105,2
19,afternoon,107,41842
20,afternoon,113,32112
21,afternoon,114,20186
22,afternoon,116,3494
23,afternoon,120,46
24,afternoon,125,11197
25,afternoon,127,694
26,afternoon,128,96
27,afternoon,137,27906
28,afternoon,140,49195
29,afternoon,141,65646
30,afternoon,142,76867
31,afternoon,143,37299
32,afternoon,144,19207
33,afternoon,148,14649
34,afternoon,151,21469
35,afternoon,152,2945
36,afternoon,153,57
37,afternoon,158,23235
38,afternoon,161,99570
39,afternoon,162,71945
40,afternoon,163,61457
41,afternoon,164,48918
42,afternoon,166,17245
43,afternoon,170,70756
44,afternoon,186,64939
45,afternoon,194,124
46,afternoon,202,401
47,afternoon,209,4652
48,afternoon,211,21364
49,afternoon,224,6844
50,afternoon,229,42374
51,afternoon,230,65447
52,afternoon,231,34791
53,afternoon,232,7716
54,afternoon,233,28620
55,afternoon,234,70681
56,afternoon,236,134064
57,afternoon,237,127288
58,afternoon,238,60277
59,afternoon,239,73699
60,afternoon,243,1819
61,afternoon,244,4873
62,afternoon,246,42297
63,afternoon,249,31143
64,afternoon,261,9625
65,afternoon,262,34931
66,afternoon,263,47969
