,TimeCategory,PULocationID,Number of PickUps
0,afternoon,4,2627
1,afternoon,12,1371
2,afternoon,13,20694
3,afternoon,24,7390
4,afternoon,41,8797
5,afternoon,42,3414
6,afternoon,43,45818
7,afternoon,45,4512
8,afternoon,48,52527
9,afternoon,50,23781
10,afternoon,68,54385
11,afternoon,74,9007
12,afternoon,75,19821
13,afternoon,79,35835
14,afternoon,87,13863
15,afternoon,88,8130
16,afternoon,90,40254
17,afternoon,100,44366
18,afternoon,105,1
19,afternoon,107,46955
20,afternoon,113,34240
21,afternoon,114,19708
22,afternoon,116,2096
23,afternoon,120,11
24,afternoon,125,12090
25,afternoon,127,153
26,afternoon,128,18
27,afternoon,137,26208
28,afternoon,140,48136
29,afternoon,141,57105
30,afternoon,142,72617
31,afternoon,143,32509
32,afternoon,144,17966
33,afternoon,148,11275
34,afternoon,151,23558
35,afternoon,152,2316
36,afternoon,153,41
37,afternoon,158,19422
38,afternoon,161,108963
39,afternoon,162,82371
40,afternoon,163,66969
41,afternoon,164,50706
42,afternoon,166,14467
43,afternoon,170,71942
44,afternoon,186,78346
45,afternoon,194,114
46,afternoon,202,80
47,afternoon,209,3228
48,afternoon,211,18017
49,afternoon,224,4377
50,afternoon,229,40108
51,afternoon,230,63855
52,afternoon,231,35635
53,afternoon,232,2602
54,afternoon,233,31507
55,afternoon,234,74983
56,afternoon,236,113587
57,afternoon,237,121610
58,afternoon,238,53188
59,afternoon,239,73277
60,afternoon,243,304
61,afternoon,244,2249
62,afternoon,246,40321
63,afternoon,249,31693
64,afternoon,261,15325
65,afternoon,262,30655
66,afternoon,263,44037
