,TimeCategory,PULocationID,Number of PickUps
0,afternoon,4,2251
1,afternoon,12,1052
2,afternoon,13,17576
3,afternoon,24,6295
4,afternoon,41,7306
5,afternoon,42,2758
6,afternoon,43,41275
7,afternoon,45,3793
8,afternoon,48,46618
9,afternoon,50,19468
10,afternoon,68,45369
11,afternoon,74,7377
12,afternoon,75,18025
13,afternoon,79,32484
14,afternoon,87,11979
15,afternoon,88,6735
16,afternoon,90,36388
17,afternoon,100,39439
18,afternoon,105,3
19,afternoon,107,42013
20,afternoon,113,31731
21,afternoon,114,18308
22,afternoon,116,1688
23,afternoon,120,5
24,afternoon,125,11571
25,afternoon,127,145
26,afternoon,128,23
27,afternoon,137,23790
28,afternoon,140,44569
29,afternoon,141,53315
30,afternoon,142,67220
31,afternoon,143,30641
32,afternoon,144,16265
33,afternoon,148,9892
34,afternoon,151,21740
35,afternoon,152,1909
36,afternoon,153,29
37,afternoon,158,17144
38,afternoon,161,98426
39,afternoon,162,74682
40,afternoon,163,61306
41,afternoon,164,46588
42,afternoon,166,13317
43,afternoon,170,65106
44,afternoon,186,71311
45,afternoon,194,84
46,afternoon,202,59
47,afternoon,209,2911
48,afternoon,211,16307
49,afternoon,224,4006
50,afternoon,229,36393
51,afternoon,230,57630
52,afternoon,231,32521
53,afternoon,232,1887
54,afternoon,233,25218
55,afternoon,234,68571
56,afternoon,236,112307
57,afternoon,237,115256
58,afternoon,238,52048
59,afternoon,239,67316
60,afternoon,243,271
61,afternoon,244,1926
62,afternoon,246,36760
63,afternoon,249,28586
64,afternoon,261,12276
65,afternoon,262,29488
66,afternoon,263,41897
