,TimeCategory,PULocationID,Number of PickUps
66,evening,4,3158
67,evening,12,709
68,evening,13,21097
69,evening,24,6121
70,evening,41,7885
71,evening,42,3049
72,evening,43,39241
73,evening,45,4477
74,evening,48,78523
75,evening,50,19719
76,evening,68,64368
77,evening,74,7078
78,evening,75,13546
79,evening,79,60610
80,evening,87,17387
81,evening,88,9554
82,evening,90,45584
83,evening,100,44507
84,evening,105,4
85,evening,107,54628
86,evening,113,42274
87,evening,114,34722
88,evening,116,2024
89,evening,120,12
90,evening,125,15072
91,evening,127,177
92,evening,128,12
93,evening,137,26008
94,evening,140,36055
95,evening,141,53261
96,evening,142,82898
97,evening,143,24910
98,evening,144,27433
99,evening,148,21042
100,evening,151,18425
101,evening,152,2160
102,evening,153,22
103,evening,158,23668
104,evening,161,127689
105,evening,162,105137
106,evening,163,76094
107,evening,164,59716
108,evening,166,14384
109,evening,170,76134
110,evening,186,76654
111,evening,194,138
112,evening,202,76
113,evening,209,4710
114,evening,211,22358
115,evening,224,3250
116,evening,229,46791
117,evening,230,101559
118,evening,231,44193
119,evening,232,3027
120,evening,233,32194
121,evening,234,88082
122,evening,236,87249
123,evening,237,111157
124,evening,238,42597
125,evening,239,62551
126,evening,243,357
127,evening,244,1854
128,evening,246,47972
129,evening,249,49867
130,evening,261,13961
131,evening,262,21452
132,evening,263,41108
