,TimeCategory,DOLocationID,Number of PickUps
67,evening,4,12167
68,evening,12,854
69,evening,13,18630
70,evening,24,9563
71,evening,41,16440
72,evening,42,9907
73,evening,43,26288
74,evening,45,5566
75,evening,48,72517
76,evening,50,28821
77,evening,68,53617
78,evening,74,17647
79,evening,75,23942
80,evening,79,63942
81,evening,87,16765
82,evening,88,5946
83,evening,90,33362
84,evening,100,32279
85,evening,105,3
86,evening,107,52335
87,evening,113,32843
88,evening,114,26686
89,evening,116,7043
90,evening,120,93
91,evening,125,11074
92,evening,127,1736
93,evening,128,100
94,evening,137,29716
95,evening,140,35022
96,evening,141,62868
97,evening,142,67947
98,evening,143,35593
99,evening,144,21536
100,evening,148,26368
101,evening,151,23903
102,evening,152,3773
103,evening,153,131
104,evening,158,28559
105,evening,161,59062
106,evening,162,49400
107,evening,163,42938
108,evening,164,44283
109,evening,166,15562
110,evening,170,70521
111,evening,186,54557
112,evening,194,315
113,evening,202,962
114,evening,209,6851
115,evening,211,18338
116,evening,224,11923
117,evening,229,50049
118,evening,230,61631
119,evening,231,34774
120,evening,232,11096
121,evening,233,33092
122,evening,234,54270
123,evening,236,90054
124,evening,237,82288
125,evening,238,54164
126,evening,239,67223
127,evening,243,4298
128,evening,244,6649
129,evening,246,44486
130,evening,249,46732
131,evening,261,8243
132,evening,262,35519
133,evening,263,51131
