,TimeCategory,PULocationID,Number of PickUps
67,evening,4,2775
68,evening,12,1225
69,evening,13,21455
70,evening,24,6006
71,evening,41,7828
72,evening,42,2868
73,evening,43,37030
74,evening,45,3774
75,evening,48,73651
76,evening,50,18673
77,evening,68,58204
78,evening,74,7377
79,evening,75,12929
80,evening,79,52878
81,evening,87,17399
82,evening,88,8870
83,evening,90,40099
84,evening,100,39742
85,evening,105,2
86,evening,107,49889
87,evening,113,34413
88,evening,114,28270
89,evening,116,2026
90,evening,120,4
91,evening,125,13476
92,evening,127,187
93,evening,128,11
94,evening,137,23934
95,evening,140,31473
96,evening,141,47021
97,evening,142,76081
98,evening,143,23412
99,evening,144,23840
100,evening,148,18821
101,evening,151,17889
102,evening,152,2351
103,evening,153,19
104,evening,158,23101
105,evening,161,101843
106,evening,162,90497
107,evening,163,66073
108,evening,164,51411
109,evening,166,11479
110,evening,170,69055
111,evening,186,70105
112,evening,194,143
113,evening,202,47
114,evening,209,5045
115,evening,211,20123
116,evening,224,3052
117,evening,229,42304
118,evening,230,79592
119,evening,231,39010
120,evening,232,2517
121,evening,233,31909
122,evening,234,72821
123,evening,236,74360
124,evening,237,98454
125,evening,238,40719
126,evening,239,58592
127,evening,243,382
128,evening,244,1824
129,evening,246,42724
130,evening,249,44359
131,evening,261,12889
132,evening,262,19383
133,evening,263,37523
