,TimeCategory,DOLocationID,Number of PickUps
67,evening,4,14450
68,evening,12,691
69,evening,13,20091
70,evening,24,10673
71,evening,41,19216
72,evening,42,11694
73,evening,43,31048
74,evening,45,6176
75,evening,48,77177
76,evening,50,30759
77,evening,68,58340
78,evening,74,20114
79,evening,75,28220
80,evening,79,74047
81,evening,87,17949
82,evening,88,6447
83,evening,90,37842
84,evening,100,33998
85,evening,105,6
86,evening,107,60318
87,evening,113,38757
88,evening,114,30748
89,evening,116,7287
90,evening,120,97
91,evening,125,12041
92,evening,127,1998
93,evening,128,116
94,evening,137,33840
95,evening,140,41592
96,evening,141,72016
97,evening,142,81081
98,evening,143,42455
99,evening,144,24463
100,evening,148,30109
101,evening,151,27801
102,evening,152,3655
103,evening,153,92
104,evening,158,31835
105,evening,161,64677
106,evening,162,54734
107,evening,163,49056
108,evening,164,49301
109,evening,166,18037
110,evening,170,76855
111,evening,186,59593
112,evening,194,319
113,evening,202,1046
114,evening,209,7169
115,evening,211,21298
116,evening,224,14606
117,evening,229,56564
118,evening,230,69094
119,evening,231,40634
120,evening,232,13075
121,evening,233,36538
122,evening,234,62410
123,evening,236,107748
124,evening,237,97646
125,evening,238,63313
126,evening,239,78151
127,evening,243,4750
128,evening,244,7209
129,evening,246,48213
130,evening,249,53093
131,evening,261,9243
132,evening,262,42065
133,evening,263,59806
