,TimeCategory,PULocationID,Number of PickUps
67,evening,4,3748
68,evening,12,500
69,evening,13,21014
70,evening,24,6614
71,evening,41,9073
72,evening,42,3340
73,evening,43,32536
74,evening,45,4528
75,evening,48,84406
76,evening,50,22055
77,evening,68,66345
78,evening,74,8233
79,evening,75,14266
80,evening,79,69031
81,evening,87,18000
82,evening,88,10546
83,evening,90,50059
84,evening,100,48747
85,evening,105,2
86,evening,107,60283
87,evening,113,44373
88,evening,114,36873
89,evening,116,2353
90,evening,120,12
91,evening,125,15721
92,evening,127,221
93,evening,128,9
94,evening,137,29495
95,evening,140,37840
96,evening,141,55441
97,evening,142,87738
98,evening,143,25236
99,evening,144,28343
100,evening,148,22801
101,evening,151,19228
102,evening,152,2329
103,evening,153,35
104,evening,158,25621
105,evening,161,128042
106,evening,162,111799
107,evening,163,79798
108,evening,164,63459
109,evening,166,14384
110,evening,170,81690
111,evening,186,87537
112,evening,194,107
113,evening,202,76
114,evening,209,4901
115,evening,211,23653
116,evening,224,3176
117,evening,229,49266
118,evening,230,110286
119,evening,231,43779
120,evening,232,3669
121,evening,233,36046
122,evening,234,96207
123,evening,236,80823
124,evening,237,101924
125,evening,238,42993
126,evening,239,65472
127,evening,243,376
128,evening,244,1882
129,evening,246,41682
130,evening,249,55433
131,evening,261,13991
132,evening,262,20704
133,evening,263,42821
