,TimeCategory,DOLocationID,Number of PickUps
67,evening,4,15246
68,evening,12,390
69,evening,13,17356
70,evening,24,10504
71,evening,41,18163
72,evening,42,10930
73,evening,43,24138
74,evening,45,5786
75,evening,48,79058
76,evening,50,29443
77,evening,68,57092
78,evening,74,18767
79,evening,75,28052
80,evening,79,75741
81,evening,87,16895
82,evening,88,5368
83,evening,90,39821
84,evening,100,33069
85,evening,107,62959
86,evening,113,39317
87,evening,114,29941
88,evening,116,6532
89,evening,120,77
90,evening,125,10644
91,evening,127,1832
92,evening,128,106
93,evening,137,39183
94,evening,140,44299
95,evening,141,77641
96,evening,142,82392
97,evening,143,43760
98,evening,144,21481
99,evening,148,28013
100,evening,151,28404
101,evening,152,3404
102,evening,153,92
103,evening,158,27737
104,evening,161,57752
105,evening,162,54129
106,evening,163,45547
107,evening,164,46149
108,evening,166,16263
109,evening,170,80478
110,evening,186,63573
111,evening,194,101
112,evening,202,1110
113,evening,209,6176
114,evening,211,18997
115,evening,224,15164
116,evening,229,59265
117,evening,230,64817
118,evening,231,37240
119,evening,232,14094
120,evening,233,38076
121,evening,234,61714
122,evening,236,108800
123,evening,237,87673
124,evening,238,68068
125,evening,239,79388
126,evening,243,4643
127,evening,244,6610
128,evening,246,40177
129,evening,249,52691
130,evening,261,8230
131,evening,262,45289
132,evening,263,63659
