,TimeCategory,DOLocationID,Number of PickUps
67,evening,4,13826
68,evening,12,679
69,evening,13,19980
70,evening,24,10185
71,evening,41,17896
72,evening,42,10926
73,evening,43,31119
74,evening,45,6192
75,evening,48,79356
76,evening,50,30151
77,evening,68,60780
78,evening,74,18311
79,evening,75,25903
80,evening,79,73309
81,evening,87,17670
82,evening,88,6218
83,evening,90,40209
84,evening,100,36012
85,evening,105,1
86,evening,107,60674
87,evening,113,40918
88,evening,114,30978
89,evening,116,6718
90,evening,120,103
91,evening,125,12106
92,evening,127,1930
93,evening,128,132
94,evening,137,33402
95,evening,140,39477
96,evening,141,72615
97,evening,142,78262
98,evening,143,41510
99,evening,144,23758
100,evening,148,30262
101,evening,151,25778
102,evening,152,3576
103,evening,153,98
104,evening,158,29752
105,evening,161,65805
106,evening,162,55280
107,evening,163,47237
108,evening,164,48451
109,evening,166,17860
110,evening,170,79655
111,evening,186,59724
112,evening,194,217
113,evening,202,1217
114,evening,209,6756
115,evening,211,20804
116,evening,224,13697
117,evening,229,57192
118,evening,230,69093
119,evening,231,40998
120,evening,232,13303
121,evening,233,35962
122,evening,234,62946
123,evening,236,108540
124,evening,237,95954
125,evening,238,61226
126,evening,239,74131
127,evening,243,4589
128,evening,244,7121
129,evening,246,48655
130,evening,249,53325
131,evening,261,8904
132,evening,262,39869
133,evening,263,56990
