,TimeCategory,PULocationID,Number of PickUps
67,evening,4,3422
68,evening,12,290
69,evening,13,18700
70,evening,24,6178
71,evening,41,7661
72,evening,42,2655
73,evening,43,29189
74,evening,45,4037
75,evening,48,76779
76,evening,50,17315
77,evening,68,54799
78,evening,74,6556
79,evening,75,13899
80,evening,79,62555
81,evening,87,16192
82,evening,88,9085
83,evening,90,44591
84,evening,100,47324
85,evening,105,3
86,evening,107,59630
87,evening,113,40052
88,evening,114,33228
89,evening,116,1878
90,evening,120,4
91,evening,125,13999
92,evening,127,165
93,evening,128,8
94,evening,137,29663
95,evening,140,41492
96,evening,141,57423
97,evening,142,90973
98,evening,143,25609
99,evening,144,24385
100,evening,148,19609
101,evening,151,19327
102,evening,152,1900
103,evening,153,22
104,evening,158,20802
105,evening,161,121871
106,evening,162,109221
107,evening,163,75672
108,evening,164,57902
109,evening,166,12463
110,evening,170,76635
111,evening,186,79973
112,evening,194,92
113,evening,202,64
114,evening,209,4027
115,evening,211,20798
116,evening,224,2975
117,evening,229,48881
118,evening,230,109502
119,evening,231,39310
120,evening,232,2679
121,evening,233,31957
122,evening,234,91559
123,evening,236,90490
124,evening,237,104791
125,evening,238,47167
126,evening,239,67638
127,evening,243,333
128,evening,244,1585
129,evening,246,31479
130,evening,249,49330
131,evening,261,11986
132,evening,262,23034
133,evening,263,46880
