,TimeCategory,DOLocationID,Number of PickUps
67,evening,4,15815
68,evening,12,672
69,evening,13,19759
70,evening,24,10539
71,evening,41,19018
72,evening,42,12000
73,evening,43,27838
74,evening,45,6629
75,evening,48,86193
76,evening,50,32083
77,evening,68,64354
78,evening,74,19988
79,evening,75,26925
80,evening,79,82107
81,evening,87,18310
82,evening,88,6620
83,evening,90,42765
84,evening,100,39071
85,evening,105,2
86,evening,107,66169
87,evening,113,42259
88,evening,114,33763
89,evening,116,7298
90,evening,120,93
91,evening,125,12264
92,evening,127,2036
93,evening,128,130
94,evening,137,37771
95,evening,140,41035
96,evening,141,75622
97,evening,142,80396
98,evening,143,42562
99,evening,144,25190
100,evening,148,31376
101,evening,151,27060
102,evening,152,3864
103,evening,153,105
104,evening,158,31928
105,evening,161,65471
106,evening,162,56802
107,evening,163,50211
108,evening,164,52309
109,evening,166,18141
110,evening,170,85747
111,evening,186,67676
112,evening,194,125
113,evening,202,1369
114,evening,209,7343
115,evening,211,21926
116,evening,224,14754
117,evening,229,58986
118,evening,230,72070
119,evening,231,41344
120,evening,232,14319
121,evening,233,39789
122,evening,234,67014
123,evening,236,101291
124,evening,237,88672
125,evening,238,63497
126,evening,239,77255
127,evening,243,5074
128,evening,244,7233
129,evening,246,46108
130,evening,249,57928
131,evening,261,9335
132,evening,262,39947
133,evening,263,59080
