,TimeCategory,PULocationID,Number of PickUps
67,evening,4,3264
68,evening,12,272
69,evening,13,17204
70,evening,24,5870
71,evening,41,7718
72,evening,42,2723
73,evening,43,28286
74,evening,45,4146
75,evening,48,75069
76,evening,50,18304
77,evening,68,55162
78,evening,74,6582
79,evening,75,13021
80,evening,79,61742
81,evening,87,15307
82,evening,88,8513
83,evening,90,43714
84,evening,100,43341
85,evening,105,3
86,evening,107,54592
87,evening,113,40261
88,evening,114,33149
89,evening,116,1928
90,evening,120,1
91,evening,125,13796
92,evening,127,182
93,evening,128,12
94,evening,137,27036
95,evening,140,36362
96,evening,141,51946
97,evening,142,85751
98,evening,143,23320
99,evening,144,24687
100,evening,148,19928
101,evening,151,18038
102,evening,152,2077
103,evening,153,20
104,evening,158,21313
105,evening,161,110907
106,evening,162,99311
107,evening,163,71439
108,evening,164,55103
109,evening,166,14291
110,evening,170,72664
111,evening,186,78796
112,evening,194,84
113,evening,202,59
114,evening,209,3963
115,evening,211,20946
116,evening,224,3090
117,evening,229,44772
118,evening,230,96775
119,evening,231,39059
120,evening,232,2814
121,evening,233,30785
122,evening,234,85899
123,evening,236,80352
124,evening,237,95908
125,evening,238,41515
126,evening,239,60193
127,evening,243,330
128,evening,244,1715
129,evening,246,32557
130,evening,249,49267
131,evening,261,11201
132,evening,262,20585
133,evening,263,41941
