,TimeCategory,PULocationID,Number of PickUps
134,morning,4,2650
135,morning,12,264
136,morning,13,15679
137,morning,24,6684
138,morning,41,8670
139,morning,42,4551
140,morning,43,21070
141,morning,45,1576
142,morning,48,58959
143,morning,50,16310
144,morning,68,31558
145,morning,74,8801
146,morning,75,15723
147,morning,79,26539
148,morning,87,9219
149,morning,88,3553
150,morning,90,25157
151,morning,100,38736
152,morning,105,5
153,morning,107,37377
154,morning,113,21583
155,morning,114,8710
156,morning,116,3027
157,morning,120,4
158,morning,125,7023
159,morning,127,135
160,morning,128,15
161,morning,137,21724
162,morning,140,35071
163,morning,141,43893
164,morning,142,39575
165,morning,143,25446
166,morning,144,5720
167,morning,148,7370
168,morning,151,18643
169,morning,152,2063
170,morning,153,59
171,morning,158,11853
172,morning,161,39430
173,morning,162,49442
174,morning,163,27920
175,morning,164,27598
176,morning,166,9400
177,morning,170,51020
178,morning,186,70601
179,morning,194,66
180,morning,202,76
181,morning,209,2093
182,morning,211,5525
183,morning,224,5775
184,morning,229,33440
185,morning,230,34023
186,morning,231,20885
187,morning,232,1688
188,morning,233,20795
189,morning,234,33040
190,morning,236,72377
191,morning,237,63350
192,morning,238,39382
193,morning,239,40506
194,morning,243,286
195,morning,244,2703
196,morning,246,17489
197,morning,249,22056
198,morning,261,5130
199,morning,262,32048
200,morning,263,35236
