,TimeCategory,PULocationID,Number of PickUps
134,morning,4,2356
135,morning,12,263
136,morning,13,15618
137,morning,24,6593
138,morning,41,7806
139,morning,42,3727
140,morning,43,22384
141,morning,45,1521
142,morning,48,51109
143,morning,50,15833
144,morning,68,29970
145,morning,74,7593
146,morning,75,14802
147,morning,79,25224
148,morning,87,9904
149,morning,88,3364
150,morning,90,24113
151,morning,100,38331
152,morning,105,1
153,morning,107,36561
154,morning,113,21229
155,morning,114,8437
156,morning,116,2851
157,morning,120,5
158,morning,125,7240
159,morning,127,130
160,morning,128,16
161,morning,137,19302
162,morning,140,34756
163,morning,141,42252
164,morning,142,40687
165,morning,143,25538
166,morning,144,5742
167,morning,148,6614
168,morning,151,18735
169,morning,152,1780
170,morning,153,32
171,morning,158,11373
172,morning,161,40825
173,morning,162,49822
174,morning,163,29012
175,morning,164,26321
176,morning,166,9114
177,morning,170,47720
178,morning,186,67552
179,morning,194,107
180,morning,202,30
181,morning,209,1784
182,morning,211,5671
183,morning,224,5119
184,morning,229,34017
185,morning,230,31632
186,morning,231,22398
187,morning,232,1345
188,morning,233,20495
189,morning,234,33091
190,morning,236,79859
191,morning,237,72393
192,morning,238,40773
193,morning,239,41904
194,morning,243,268
195,morning,244,2395
196,morning,246,17546
197,morning,249,23003
198,morning,261,5420
199,morning,262,31102
200,morning,263,34771
