,TimeCategory,PULocationID,Number of PickUps
134,morning,4,2900
135,morning,12,256
136,morning,13,16211
137,morning,24,6556
138,morning,41,8263
139,morning,42,4038
140,morning,43,22653
141,morning,45,1621
142,morning,48,57618
143,morning,50,15597
144,morning,68,33042
145,morning,74,8321
146,morning,75,16260
147,morning,79,26529
148,morning,87,9283
149,morning,88,3506
150,morning,90,25139
151,morning,100,44664
152,morning,105,4
153,morning,107,39951
154,morning,113,22665
155,morning,114,9212
156,morning,116,2682
157,morning,120,14
158,morning,125,6678
159,morning,127,172
160,morning,128,15
161,morning,137,24310
162,morning,140,41227
163,morning,141,49917
164,morning,142,40772
165,morning,143,26775
166,morning,144,5622
167,morning,148,6827
168,morning,151,19438
169,morning,152,1809
170,morning,153,59
171,morning,158,11043
172,morning,161,41599
173,morning,162,48790
174,morning,163,26992
175,morning,164,27210
176,morning,166,9209
177,morning,170,56159
178,morning,186,71998
179,morning,194,63
180,morning,202,49
181,morning,209,2253
182,morning,211,5399
183,morning,224,6094
184,morning,229,37511
185,morning,230,33049
186,morning,231,22089
187,morning,232,1584
188,morning,233,22552
189,morning,234,33778
190,morning,236,83109
191,morning,237,69816
192,morning,238,41972
193,morning,239,42776
194,morning,243,333
195,morning,244,2671
196,morning,246,17598
197,morning,249,23284
198,morning,261,4941
199,morning,262,33616
200,morning,263,38704
