,TimeCategory,DOLocationID,Number of PickUps
134,morning,4,2409
135,morning,12,1699
136,morning,13,17672
137,morning,24,3428
138,morning,41,6060
139,morning,42,4024
140,morning,43,19291
141,morning,45,3092
142,morning,48,23548
143,morning,50,14955
144,morning,68,27321
145,morning,74,12100
146,morning,75,21542
147,morning,79,10043
148,morning,87,10007
149,morning,88,8923
150,morning,90,15362
151,morning,100,23229
152,morning,105,2
153,morning,107,20970
154,morning,113,12732
155,morning,114,8318
156,morning,116,2115
157,morning,120,41
158,morning,125,7939
159,morning,127,405
160,morning,128,137
161,morning,137,19080
162,morning,140,31153
163,morning,141,25047
164,morning,142,29114
165,morning,143,13177
166,morning,144,6530
167,morning,148,4698
168,morning,151,6936
169,morning,152,2182
170,morning,153,30
171,morning,158,8882
172,morning,161,93725
173,morning,162,64147
174,morning,163,40968
175,morning,164,26571
176,morning,166,12352
177,morning,170,42860
178,morning,186,38755
179,morning,194,395
180,morning,202,119
181,morning,209,2789
182,morning,211,7268
183,morning,224,1944
184,morning,229,17638
185,morning,230,47604
186,morning,231,25279
187,morning,232,3122
188,morning,233,21525
189,morning,234,40691
190,morning,236,51712
191,morning,237,53472
192,morning,238,21170
193,morning,239,24369
194,morning,243,1048
195,morning,244,5358
196,morning,246,33916
197,morning,249,11740
198,morning,261,6391
199,morning,262,10399
200,morning,263,16353
