,TimeCategory,PULocationID,Number of PickUps
134,morning,4,2095
135,morning,12,233
136,morning,13,14261
137,morning,24,6194
138,morning,41,6985
139,morning,42,3387
140,morning,43,19095
141,morning,45,1439
142,morning,48,46447
143,morning,50,14507
144,morning,68,26902
145,morning,74,7087
146,morning,75,13372
147,morning,79,22411
148,morning,87,9267
149,morning,88,3074
150,morning,90,21789
151,morning,100,37431
152,morning,107,33282
153,morning,113,19219
154,morning,114,7665
155,morning,116,2629
156,morning,120,5
157,morning,125,6439
158,morning,127,131
159,morning,128,14
160,morning,137,17515
161,morning,140,31460
162,morning,141,38471
163,morning,142,35606
164,morning,143,21930
165,morning,144,4997
166,morning,148,6049
167,morning,151,16801
168,morning,152,1932
169,morning,153,20
170,morning,158,10256
171,morning,161,39353
172,morning,162,44808
173,morning,163,25913
174,morning,164,24179
175,morning,166,8440
176,morning,170,45150
177,morning,186,63027
178,morning,194,99
179,morning,202,45
180,morning,209,1660
181,morning,211,5250
182,morning,224,4760
183,morning,229,31685
184,morning,230,30638
185,morning,231,19946
186,morning,232,1109
187,morning,233,20060
188,morning,234,29325
189,morning,236,66451
190,morning,237,59541
191,morning,238,35176
192,morning,239,36053
193,morning,243,274
194,morning,244,2392
195,morning,246,16122
196,morning,249,20659
197,morning,261,5109
198,morning,262,27829
199,morning,263,30878
