,TimeCategory,DOLocationID,Number of PickUps
134,morning,4,2563
135,morning,12,1763
136,morning,13,18687
137,morning,24,3760
138,morning,41,6505
139,morning,42,4143
140,morning,43,22647
141,morning,45,3257
142,morning,48,25561
143,morning,50,15913
144,morning,68,30008
145,morning,74,12561
146,morning,75,23630
147,morning,79,11594
148,morning,87,10727
149,morning,88,9424
150,morning,90,17034
151,morning,100,24782
152,morning,107,24134
153,morning,113,14802
154,morning,114,8941
155,morning,116,2086
156,morning,120,46
157,morning,125,8513
158,morning,127,393
159,morning,128,110
160,morning,137,20649
161,morning,140,35575
162,morning,141,27073
163,morning,142,33997
164,morning,143,16019
165,morning,144,7256
166,morning,148,5092
167,morning,151,7447
168,morning,152,2478
169,morning,153,41
170,morning,158,9479
171,morning,161,101243
172,morning,162,69695
173,morning,163,45455
174,morning,164,29118
175,morning,166,15970
176,morning,170,44900
177,morning,186,40408
178,morning,194,797
179,morning,202,158
180,morning,209,3182
181,morning,211,8234
182,morning,224,2091
183,morning,229,18839
184,morning,230,54049
185,morning,231,27492
186,morning,232,3422
187,morning,233,22402
188,morning,234,45910
189,morning,236,66209
190,morning,237,63049
191,morning,238,25260
192,morning,239,27454
193,morning,243,1037
194,morning,244,5534
195,morning,246,35067
196,morning,249,12935
197,morning,261,6385
198,morning,262,12251
199,morning,263,18588
