,TimeCategory,PULocationID,Number of PickUps
133,morning,4,2335
134,morning,12,281
135,morning,13,15254
136,morning,24,6295
137,morning,41,7399
138,morning,42,3585
139,morning,43,22059
140,morning,45,1532
141,morning,48,54572
142,morning,50,15751
143,morning,68,29827
144,morning,74,7415
145,morning,75,14770
146,morning,79,24900
147,morning,87,9142
148,morning,88,3494
149,morning,90,24225
150,morning,100,36668
151,morning,105,2
152,morning,107,36055
153,morning,113,20905
154,morning,114,8607
155,morning,116,2584
156,morning,120,7
157,morning,125,7047
158,morning,127,128
159,morning,128,17
160,morning,137,19394
161,morning,140,34064
162,morning,141,42148
163,morning,142,39452
164,morning,143,25127
165,morning,144,5400
166,morning,148,6622
167,morning,151,18091
168,morning,152,1749
169,morning,153,35
170,morning,158,11631
171,morning,161,38995
172,morning,162,49175
173,morning,163,26899
174,morning,164,26127
175,morning,166,8877
176,morning,170,47109
177,morning,186,67545
178,morning,194,76
179,morning,202,53
180,morning,209,1829
181,morning,211,5411
182,morning,224,5410
183,morning,229,33327
184,morning,230,30737
185,morning,231,21706
186,morning,232,1283
187,morning,233,19864
188,morning,234,32844
189,morning,236,77865
190,morning,237,68892
191,morning,238,39766
192,morning,239,40682
193,morning,243,265
194,morning,244,2345
195,morning,246,17503
196,morning,249,21958
197,morning,261,5239
198,morning,262,31708
199,morning,263,34945
