,TimeCategory,DOLocationID,Number of PickUps
134,morning,4,2899
135,morning,12,1526
136,morning,13,17174
137,morning,24,3584
138,morning,41,7177
139,morning,42,5087
140,morning,43,20064
141,morning,45,3522
142,morning,48,28584
143,morning,50,18401
144,morning,68,30578
145,morning,74,12939
146,morning,75,24208
147,morning,79,12469
148,morning,87,10342
149,morning,88,8639
150,morning,90,18084
151,morning,100,25502
152,morning,105,1
153,morning,107,25519
154,morning,113,15053
155,morning,114,9526
156,morning,116,2176
157,morning,120,56
158,morning,125,8387
159,morning,127,394
160,morning,128,102
161,morning,137,23021
162,morning,140,36252
163,morning,141,28152
164,morning,142,33297
165,morning,143,16424
166,morning,144,7320
167,morning,148,5211
168,morning,151,7553
169,morning,152,2715
170,morning,153,47
171,morning,158,9619
172,morning,161,101467
173,morning,162,73526
174,morning,163,45297
175,morning,164,31179
176,morning,166,14043
177,morning,170,47918
178,morning,186,36720
179,morning,194,191
180,morning,202,170
181,morning,209,3260
182,morning,211,8523
183,morning,224,2082
184,morning,229,20119
185,morning,230,56889
186,morning,231,28104
187,morning,232,3469
188,morning,233,25294
189,morning,234,47103
190,morning,236,58437
191,morning,237,57609
192,morning,238,23972
193,morning,239,27832
194,morning,243,961
195,morning,244,5835
196,morning,246,37152
197,morning,249,12364
198,morning,261,6158
199,morning,262,11219
200,morning,263,18645
