,TimeCategory,DOLocationID,Number of PickUps
199,night,4,8057
200,night,12,251
201,night,13,5632
202,night,24,3506
203,night,41,8095
204,night,42,7084
205,night,43,4735
206,night,45,2953
207,night,48,33657
208,night,50,11873
209,night,68,24218
210,night,74,9046
211,night,75,11251
212,night,79,37759
213,night,87,11131
214,night,88,2874
215,night,90,16865
216,night,100,9625
217,night,107,22906
218,night,113,10188
219,night,114,11401
220,night,116,5844
221,night,120,59
222,night,125,4135
223,night,127,1555
224,night,128,47
225,night,137,17828
226,night,140,11148
227,night,141,19718
228,night,142,13475
229,night,143,9546
230,night,144,9163
231,night,148,19205
232,night,151,7730
233,night,152,2624
234,night,153,90
235,night,158,9459
236,night,161,12258
237,night,162,14428
238,night,163,12265
239,night,164,16618
240,night,166,4912
241,night,170,26941
242,night,186,19266
243,night,194,27
244,night,202,585
245,night,209,3340
246,night,211,6496
247,night,224,6089
248,night,229,15826
249,night,230,17290
250,night,231,13225
251,night,232,6919
252,night,233,14113
253,night,234,15697
254,night,236,16117
255,night,237,11602
256,night,238,14400
257,night,239,14994
258,night,243,3352
259,night,244,6040
260,night,246,13284
261,night,249,19465
262,night,261,4693
263,night,262,9966
264,night,263,18759
