,TimeCategory,DOLocationID,Number of PickUps
201,night,4,7473
202,night,12,420
203,night,13,6277
204,night,24,3571
205,night,41,8127
206,night,42,7073
207,night,43,6059
208,night,45,3248
209,night,48,32269
210,night,50,12319
211,night,68,24443
212,night,74,8592
213,night,75,10745
214,night,79,35191
215,night,87,11006
216,night,88,2852
217,night,90,17566
218,night,100,10682
219,night,105,2
220,night,107,22661
221,night,113,10574
222,night,114,11309
223,night,116,5982
224,night,120,65
225,night,125,4800
226,night,127,1576
227,night,128,77
228,night,137,15237
229,night,140,10159
230,night,141,17922
231,night,142,14255
232,night,143,9428
233,night,144,10490
234,night,148,18857
235,night,151,7320
236,night,152,2489
237,night,153,75
238,night,158,9638
239,night,161,13569
240,night,162,14806
241,night,163,13192
242,night,164,17830
243,night,166,5505
244,night,170,24712
245,night,186,18888
246,night,194,27
247,night,202,767
248,night,209,3518
249,night,211,6905
250,night,224,5930
251,night,229,15160
252,night,230,18473
253,night,231,14451
254,night,232,6374
255,night,233,13299
256,night,234,16471
257,night,236,15745
258,night,237,12111
259,night,238,13962
260,night,239,14856
261,night,243,3709
262,night,244,6045
263,night,246,13268
264,night,249,19175
265,night,261,4944
266,night,262,9893
267,night,263,16895
