,TimeCategory,PULocationID,Number of PickUps
200,night,4,3441
201,night,12,90
202,night,13,2757
203,night,24,1625
204,night,41,2705
205,night,42,1310
206,night,43,3982
207,night,45,2137
208,night,48,36358
209,night,50,6837
210,night,68,26498
211,night,74,2311
212,night,75,3288
213,night,79,46687
214,night,87,3986
215,night,88,2394
216,night,90,15428
217,night,100,13550
218,night,105,3
219,night,107,18902
220,night,113,10729
221,night,114,23873
222,night,116,1155
223,night,120,2
224,night,125,6051
225,night,127,109
226,night,128,1
227,night,137,8472
228,night,140,5059
229,night,141,11072
230,night,142,19183
231,night,143,3423
232,night,144,13706
233,night,148,33932
234,night,151,2852
235,night,152,709
236,night,153,6
237,night,158,15268
238,night,161,23650
239,night,162,16479
240,night,163,16836
241,night,164,22967
242,night,166,3108
243,night,170,15089
244,night,186,20570
245,night,194,32
246,night,202,22
247,night,209,1902
248,night,211,8636
249,night,224,1034
250,night,229,10136
251,night,230,35068
252,night,231,14682
253,night,232,2388
254,night,233,5473
255,night,234,23457
256,night,236,7370
257,night,237,12288
258,night,238,6774
259,night,239,10464
260,night,243,217
261,night,244,910
262,night,246,14662
263,night,249,29953
264,night,261,2256
265,night,262,2215
266,night,263,10262
