,TimeCategory,DOLocationID,Number of PickUps
200,night,4,7399
201,night,12,435
202,night,13,6485
203,night,24,3621
204,night,41,8495
205,night,42,7547
206,night,43,5533
207,night,45,2918
208,night,48,33311
209,night,50,12425
210,night,68,25162
211,night,74,9272
212,night,75,11299
213,night,79,34250
214,night,87,11712
215,night,88,2929
216,night,90,17319
217,night,100,10634
218,night,105,1
219,night,107,22690
220,night,113,10606
221,night,114,10973
222,night,116,6357
223,night,120,63
224,night,125,4898
225,night,127,1744
226,night,128,65
227,night,137,15337
228,night,140,10687
229,night,141,19084
230,night,142,14631
231,night,143,9863
232,night,144,10549
233,night,148,18257
234,night,151,7807
235,night,152,2681
236,night,153,84
237,night,158,10181
238,night,161,13584
239,night,162,15144
240,night,163,14326
241,night,164,18509
242,night,166,5566
243,night,170,26231
244,night,186,20103
245,night,194,30
246,night,202,606
247,night,209,3719
248,night,211,7124
249,night,224,5925
250,night,229,15897
251,night,230,20482
252,night,231,14242
253,night,232,6082
254,night,233,13629
255,night,234,16414
256,night,236,16799
257,night,237,13247
258,night,238,14846
259,night,239,15516
260,night,243,3649
261,night,244,6336
262,night,246,14222
263,night,249,19768
264,night,261,4749
265,night,262,10448
266,night,263,17685
