,TimeCategory,PULocationID,Number of PickUps
201,night,4,3804
202,night,12,63
203,night,13,2351
204,night,24,1536
205,night,41,2564
206,night,42,1313
207,night,43,3058
208,night,45,2136
209,night,48,34403
210,night,50,6893
211,night,68,24917
212,night,74,2326
213,night,75,3311
214,night,79,51044
215,night,87,4080
216,night,88,2252
217,night,90,14850
218,night,100,12737
219,night,105,2
220,night,107,19256
221,night,113,10248
222,night,114,25044
223,night,116,1169
224,night,120,8
225,night,125,5716
226,night,127,65
227,night,128,1
228,night,137,9144
229,night,140,5184
230,night,141,10708
231,night,142,17215
232,night,143,2996
233,night,144,13669
234,night,148,37759
235,night,151,2734
236,night,152,690
237,night,153,2
238,night,158,15959
239,night,161,21021
240,night,162,15888
241,night,163,15888
242,night,164,22539
243,night,166,3137
244,night,170,16204
245,night,186,17720
246,night,194,37
247,night,202,14
248,night,209,1758
249,night,211,8409
250,night,224,1113
251,night,229,10463
252,night,230,31991
253,night,231,13700
254,night,232,2551
255,night,233,5298
256,night,234,22789
257,night,236,6304
258,night,237,11005
259,night,238,5913
260,night,239,9500
261,night,243,187
262,night,244,900
263,night,246,12495
264,night,249,30812
265,night,261,2095
266,night,262,2098
267,night,263,10695
