,TimeCategory,PULocationID,Number of PickUps
200,night,4,3233
201,night,12,150
202,night,13,2919
203,night,24,1801
204,night,41,3322
205,night,42,1604
206,night,43,4538
207,night,45,1947
208,night,48,42355
209,night,50,8073
210,night,68,27794
211,night,74,2959
212,night,75,3752
213,night,79,51657
214,night,87,4843
215,night,88,2373
216,night,90,17494
217,night,100,15039
218,night,105,2
219,night,107,20024
220,night,113,11102
221,night,114,25050
222,night,116,1359
223,night,120,12
224,night,125,6654
225,night,127,154
226,night,128,3
227,night,137,9251
228,night,140,5183
229,night,141,11687
230,night,142,14732
231,night,143,3655
232,night,144,14036
233,night,148,36966
234,night,151,3218
235,night,152,929
236,night,153,10
237,night,158,20093
238,night,161,22342
239,night,162,16903
240,night,163,16288
241,night,164,23084
242,night,166,3137
243,night,170,18649
244,night,186,21401
245,night,194,42
246,night,202,18
247,night,209,2331
248,night,211,9018
249,night,224,897
250,night,229,10847
251,night,230,35523
252,night,231,14436
253,night,232,2131
254,night,233,5879
255,night,234,23394
256,night,236,7830
257,night,237,12402
258,night,238,8662
259,night,239,11903
260,night,243,243
261,night,244,1147
262,night,246,18546
263,night,249,33739
264,night,261,2559
265,night,262,2328
266,night,263,10770
