,TimeCategory,DOLocationID,Number of PickUps
201,night,4,9076
202,night,12,394
203,night,13,6923
204,night,24,4044
205,night,41,9117
206,night,42,8331
207,night,43,5916
208,night,45,3675
209,night,48,38505
210,night,50,14195
211,night,68,29238
212,night,74,9742
213,night,75,12198
214,night,79,44428
215,night,87,13282
216,night,88,3252
217,night,90,20578
218,night,100,12253
219,night,107,27635
220,night,113,12452
221,night,114,13743
222,night,116,6595
223,night,120,92
224,night,125,5760
225,night,127,1681
226,night,128,65
227,night,137,18995
228,night,140,12023
229,night,141,21176
230,night,142,15601
231,night,143,10609
232,night,144,11947
233,night,148,22917
234,night,151,8284
235,night,152,3058
236,night,153,96
237,night,158,11549
238,night,161,14667
239,night,162,16759
240,night,163,14890
241,night,164,20324
242,night,166,6073
243,night,170,30417
244,night,186,22480
245,night,194,34
246,night,202,785
247,night,209,4231
248,night,211,8215
249,night,224,7019
250,night,229,17790
251,night,230,21216
252,night,231,16174
253,night,232,7365
254,night,233,15952
255,night,234,19493
256,night,236,16970
257,night,237,13083
258,night,238,15585
259,night,239,17114
260,night,243,3931
261,night,244,7085
262,night,246,15072
263,night,249,23689
264,night,261,5688
265,night,262,11198
266,night,263,20566
