,TimeCategory,PULocationID,Number of PickUps
201,night,4,3639
202,night,12,77
203,night,13,2495
204,night,24,1733
205,night,41,3118
206,night,42,1576
207,night,43,3932
208,night,45,2036
209,night,48,37271
210,night,50,6955
211,night,68,24734
212,night,74,2835
213,night,75,3656
214,night,79,52594
215,night,87,3947
216,night,88,2326
217,night,90,15025
218,night,100,12571
219,night,105,1
220,night,107,20444
221,night,113,10488
222,night,114,25426
223,night,116,1440
224,night,120,4
225,night,125,5660
226,night,127,99
227,night,128,3
228,night,137,10373
229,night,140,5829
230,night,141,12859
231,night,142,18703
232,night,143,3711
233,night,144,12742
234,night,148,36580
235,night,151,3436
236,night,152,761
237,night,153,7
238,night,158,15286
239,night,161,21272
240,night,162,16315
241,night,163,16294
242,night,164,23164
243,night,166,3129
244,night,170,17309
245,night,186,18154
246,night,194,30
247,night,202,22
248,night,209,1858
249,night,211,7570
250,night,224,1118
251,night,229,11544
252,night,230,32342
253,night,231,13307
254,night,232,2520
255,night,233,5667
256,night,234,24312
257,night,236,7905
258,night,237,12154
259,night,238,7585
260,night,239,11628
261,night,243,228
262,night,244,1081
263,night,246,12587
264,night,249,30562
265,night,261,2255
266,night,262,2618
267,night,263,13143
