,TimeCategory,PULocationID,Number of PickUps
201,night,4,4632
202,night,12,70
203,night,13,2628
204,night,24,1813
205,night,41,3275
206,night,42,1617
207,night,43,3608
208,night,45,2612
209,night,48,41881
210,night,50,7700
211,night,68,31292
212,night,74,2800
213,night,75,3699
214,night,79,59795
215,night,87,4638
216,night,88,2881
217,night,90,19005
218,night,100,17504
219,night,105,2
220,night,107,23166
221,night,113,12573
222,night,114,30055
223,night,116,1385
224,night,120,7
225,night,125,7363
226,night,127,108
227,night,128,3
228,night,137,10612
229,night,140,5790
230,night,141,12756
231,night,142,19707
232,night,143,3718
233,night,144,16184
234,night,148,43058
235,night,151,3191
236,night,152,827
237,night,153,3
238,night,158,19068
239,night,161,26019
240,night,162,18655
241,night,163,18298
242,night,164,28312
243,night,166,3471
244,night,170,19144
245,night,186,24267
246,night,194,34
247,night,202,14
248,night,209,2188
249,night,211,9690
250,night,224,1133
251,night,229,11874
252,night,230,41149
253,night,231,15729
254,night,232,2943
255,night,233,6431
256,night,234,27789
257,night,236,7056
258,night,237,12766
259,night,238,7049
260,night,239,11929
261,night,243,211
262,night,244,1034
263,night,246,15370
264,night,249,37181
265,night,261,2631
266,night,262,2380
267,night,263,12096
