,TimeCategory,DOLocationID,Number of PickUps
201,night,4,7989
202,night,12,222
203,night,13,5472
204,night,24,3328
205,night,41,7459
206,night,42,6637
207,night,43,4570
208,night,45,3001
209,night,48,31589
210,night,50,11623
211,night,68,23940
212,night,74,8241
213,night,75,10346
214,night,79,39188
215,night,87,11285
216,night,88,2749
217,night,90,16865
218,night,100,9078
219,night,105,5
220,night,107,23405
221,night,113,10707
222,night,114,11523
223,night,116,5559
224,night,120,68
225,night,125,4412
226,night,127,1414
227,night,128,32
228,night,137,16864
229,night,140,10355
230,night,141,17846
231,night,142,12917
232,night,143,9019
233,night,144,10083
234,night,148,19579
235,night,151,6994
236,night,152,2483
237,night,153,82
238,night,158,9477
239,night,161,11055
240,night,162,13211
241,night,163,12007
242,night,164,16694
243,night,166,5081
244,night,170,25731
245,night,186,19075
246,night,194,27
247,night,202,565
248,night,209,3287
249,night,211,6836
250,night,224,6513
251,night,229,15085
252,night,230,16018
253,night,231,13148
254,night,232,6533
255,night,233,13826
256,night,234,15994
257,night,236,14230
258,night,237,10582
259,night,238,12920
260,night,239,13830
261,night,243,3302
262,night,244,5691
263,night,246,12961
264,night,249,19310
265,night,261,4521
266,night,262,9403
267,night,263,17391
